zimpl	v       0	X#1             	"X#1"
zimpl	v       1	X#2             	"X#2"
zimpl	v       2	X#3             	"X#3"
zimpl	v       3	Y#1             	"Y#1"
zimpl	v       4	Y#2             	"Y#2"
zimpl	v       5	Y#3             	"Y#3"
zimpl	v       6	Y#4             	"Y#4"
zimpl	v       7	Y#5             	"Y#5"
zimpl	v       8	Y#6             	"Y#6"
zimpl	c       0	c1_1            	"c1_1"	0.0000000000000000e+000
zimpl	c       1	c1_2            	"c1_2"	0.0000000000000000e+000
zimpl	c       2	c1_3            	"c1_3"	0.0000000000000000e+000
zimpl	c       3	c2_1            	"c2_1"	0.0000000000000000e+000
zimpl	c       4	c3_1            	"c3_1"	0.0000000000000000e+000
zimpl	c       5	c3_2            	"c3_2"	0.0000000000000000e+000
zimpl	c       6	c3_3            	"c3_3"	0.0000000000000000e+000
zimpl	c       7	c3_4            	"c3_4"	0.0000000000000000e+000
zimpl	c       8	c3_5            	"c3_5"	0.0000000000000000e+000
zimpl	c       9	c3_6            	"c3_6"	0.0000000000000000e+000
zimpl	c      10	c3_7            	"c3_7"	0.0000000000000000e+000
zimpl	c      11	c3_8            	"c3_8"	0.0000000000000000e+000
zimpl	c      12	c3_9            	"c3_9"	0.0000000000000000e+000
zimpl	c      13	c3_10           	"c3_10"	0.0000000000000000e+000
zimpl	c      14	c3_11           	"c3_11"	0.0000000000000000e+000
zimpl	c      15	c3_12           	"c3_12"	0.0000000000000000e+000
